sourceUuid,vipArticleUuidYesterday,vipArticleTitleYesterday,vipArticleUuidToday,vipArticleTitleToday
bd_f31537ff-9e0a-4253-9bff-295ae64ee830_4,-2,no vip article,-2,no vip article
bd_ce06f993-844b-40fc-b08d-0a1d16f96475_4,-2,no vip article,-2,no vip article
bd_e5c85cc1d23f4d618665df359077be50_4,-2,no vip article,-2,no vip article
bd_d181f15b-d8f0-4412-9995-163350e930fd_4,-2,no vip article,-2,no vip article
bd_ed17f7914b6e40bfaa880adf29a7c21c_4,-2,no vip article,-2,no vip article
bd_3d9cd1b0196242f49b2499d44fe2e7b1_4,-2,no vip article,-2,no vip article
bd_2a6caa7870a94cb995439d58dbce79aa_4,-2,no vip article,-2,no vip article
bd_9a51f7cd-73eb-4d45-a615-38a01d6729b6_4,-2,no vip article,-2,no vip article
bd_6fc5b338b75d4363894883f942a2011f_4,-2,no vip article,-2,no vip article
bd_a6e72083017f4421a164b29721309590_4,-2,no vip article,-2,no vip article
bd_0e0772728e9945a8bdfff71f4e75355e_4,-2,no vip article,-2,no vip article
bd_8635da0a21d3477c9221b04b6f6a4adc_4,-2,no vip article,-2,no vip article
bd_a65587e4-d92e-4332-85fe-c07341d93795_4,-2,no vip article,-2,no vip article
bd_87d6f3fcbbe24e67a3aa8a67914f2e1a_4,-2,no vip article,-2,no vip article
bd_bd7796622b514784bbb26675e948fa58_4,-2,no vip article,-2,no vip article
bd_4a2319e7fae845febf909754bead5e1b_4,-2,no vip article,-2,no vip article
bd_d8ee0ed29cb84ae88b7cc9f7ee877a56_4,-2,no vip article,-2,no vip article
ts_e48183db1ba944c7ab775e59802c250e_4,-2,no vip article,-2,no vip article
bd_b8e2604015c24e299f4adcf38445b527_4,-2,no vip article,-2,no vip article
bd_95477e0c4c8d455e88c88ff9b9aa8dd1_4,-2,no vip article,-2,no vip article
bd_eb02a022cc154cb2a7b79b912a788f33_4,-2,no vip article,-2,no vip article
bd_824166c6-96c4-4af3-8199-3210040ed4ff_4,-2,no vip article,-2,no vip article
bd_2873c7393123487cb30a182bfa4b15f1_4,-2,no vip article,-2,no vip article
bd_fb81ab6711554cf58ca7455e4cacc1dc_4,-2,no vip article,-2,no vip article
bd_38863903f813404a8c1b61d42e2c20b3_4,-2,no vip article,-2,no vip article
ts_661dd105f1ac4b77b1ba2bfd0dfee8d3_4,-2,no vip article,-2,no vip article
ts_c93530126f0740f492fedde4f9582daf_4,-2,no vip article,-2,no vip article
bd_a4e4810a43e440c3841fd4620a666c2f_4,-2,no vip article,-2,no vip article
